"","S","N","rt","subject","t","is.predictable"
"78",40,5760,727.732710253749,2,6,1
"79",40,5760,712.967648150443,2,7,1
"80",40,5760,717.852278127086,2,8,1
"81",40,5760,705.042960474172,2,9,1
"82",40,5760,693.034148019367,2,10,1
"83",40,5760,700.342448758434,2,11,1
"84",40,5760,696.939609842154,2,12,1
"85",40,5760,695.114861772565,2,13,1
"86",40,5760,696.349740673631,2,14,1
"87",40,5760,698.518996254859,2,15,1
"88",40,5760,681.401403718574,2,16,1
"89",40,5760,680.642052069146,2,17,1
"90",40,5760,679.714791371779,2,18,1
"91",40,5760,673.683111996205,2,19,1
"92",40,5760,677.324472261553,2,20,1
"93",40,5760,676.581339992195,2,21,1
"94",40,5760,669.301611187581,2,22,1
"95",40,5760,679.810064330954,2,23,1
"96",40,5760,675.015888174463,2,24,1
"97",40,5760,679.995765027807,2,25,1
"98",40,5760,673.631638914921,2,26,1
"99",40,5760,683.363056087679,2,27,1
"100",40,5760,667.612054384246,2,28,1
"101",40,5760,672.903319402775,2,29,1
"102",40,5760,673.324248751531,2,30,1
"103",40,5760,676.759319431513,2,31,1
"104",40,5760,662.268022442713,2,32,1
"105",40,5760,679.823695283678,2,33,1
"106",40,5760,668.018995256874,2,34,1
"107",40,5760,679.563710022937,2,35,1
"108",40,5760,668.156862875319,2,36,1
"109",40,5760,666.827946611029,2,37,1
"110",40,5760,669.542228151359,2,38,1
"111",40,5760,666.529287797478,2,39,1
"112",40,5760,672.382004367069,2,40,1
"113",40,5760,665.943906477314,2,41,1
"114",40,5760,674.673251202259,2,42,1
"115",40,5760,655.491052267319,2,43,1
"116",40,5760,666.029269065986,2,44,1
"117",40,5760,664.174891609019,2,45,1
"118",40,5760,666.59979176913,2,46,1
"119",40,5760,671.379504221321,2,47,1
"120",40,5760,659.366220730205,2,48,1
"121",40,5760,665.01631574484,2,49,1
"122",40,5760,676.360650628805,2,50,1
"123",40,5760,667.464694263015,2,51,1
"124",40,5760,666.507768445079,2,52,1
"125",40,5760,663.065061908026,2,53,1
"126",40,5760,662.208943783952,2,54,1
"127",40,5760,655.87008518265,2,55,1
"128",40,5760,658.397092162919,2,56,1
"129",40,5760,659.534650118063,2,57,1
"130",40,5760,659.259147488515,2,58,1
"131",40,5760,659.667360536988,2,59,1
"132",40,5760,657.349496115737,2,60,1
"133",40,5760,656.272043741436,2,61,1
"134",40,5760,651.174904417928,2,62,1
"135",40,5760,669.482676388414,2,63,1
"136",40,5760,650.528287677724,2,64,1
"137",40,5760,654.025873073221,2,65,1
"138",40,5760,664.124791340048,2,66,1
"139",40,5760,658.542027265235,2,67,1
"140",40,5760,645.957493610072,2,68,1
"141",40,5760,657.317079650836,2,69,1
"142",40,5760,657.336055684384,2,70,1
"143",40,5760,657.254033995464,2,71,1
"144",40,5760,659.84607493368,2,72,1
"145",40,5760,701.21582456278,3,1,1
"146",40,5760,611.125776636847,3,2,1
"147",40,5760,574.542053010149,3,3,1
"148",40,5760,548.823896452657,3,4,1
"149",40,5760,522.162818079682,3,5,1
"150",40,5760,509.464145571389,3,6,1
"151",40,5760,504.420517549466,3,7,1
"152",40,5760,486.075994872022,3,8,1
"153",40,5760,485.798699479296,3,9,1
"154",40,5760,476.277941297943,3,10,1
"155",40,5760,471.076834400282,3,11,1
"156",40,5760,459.573843261156,3,12,1
"157",40,5760,449.83176246803,3,13,1
"158",40,5760,460.087930152317,3,14,1
"159",40,5760,457.554470356474,3,15,1
"160",40,5760,455.164850130508,3,16,1
"161",40,5760,431.018141916475,3,17,1
"162",40,5760,441.996338897588,3,18,1
"163",40,5760,439.182007098654,3,19,1
"164",40,5760,441.017410856216,3,20,1
"165",40,5760,430.477387604072,3,21,1
"166",40,5760,430.888827476307,3,22,1
"167",40,5760,429.656926388985,3,23,1
"168",40,5760,431.228871258211,3,24,1
"169",40,5760,420.400731544015,3,25,1
"170",40,5760,410.355757689172,3,26,1
"171",40,5760,424.508230504024,3,27,1
"172",40,5760,416.725946827273,3,28,1
"173",40,5760,417.079253248845,3,29,1
"174",40,5760,413.225187582803,3,30,1
"175",40,5760,404.882755864998,3,31,1
"176",40,5760,410.603158509732,3,32,1
"177",40,5760,421.867408260171,3,33,1
"178",40,5760,421.220540006945,3,34,1
"179",40,5760,411.611747244257,3,35,1
"180",40,5760,409.266629006073,3,36,1
"181",40,5760,404.092525539275,3,37,1
"182",40,5760,403.189473469055,3,38,1
"183",40,5760,419.122362654945,3,39,1
"184",40,5760,400.573443047505,3,40,1
"185",40,5760,414.171993354947,3,41,1
"186",40,5760,397.139213836298,3,42,1
"187",40,5760,393.547296404874,3,43,1
"188",40,5760,399.073655825387,3,44,1
"189",40,5760,401.803165888381,3,45,1
"190",40,5760,395.188153957258,3,46,1
"191",40,5760,391.392299106177,3,47,1
"192",40,5760,400.750516495473,3,48,1
"193",40,5760,391.974147636816,3,49,1
"194",40,5760,390.037033207495,3,50,1
"195",40,5760,396.131512157841,3,51,1
"196",40,5760,395.479918387268,3,52,1
"197",40,5760,391.141793596761,3,53,1
"198",40,5760,396.427020107948,3,54,1
"199",40,5760,399.012663497003,3,55,1
"200",40,5760,391.953296472188,3,56,1
"201",40,5760,388.53477898485,3,57,1
"202",40,5760,390.770697675229,3,58,1
"203",40,5760,379.008257262776,3,59,1
"204",40,5760,383.22842741629,3,60,1
"205",40,5760,379.987176499388,3,61,1
"206",40,5760,389.138117855899,3,62,1
"207",40,5760,383.483779502551,3,63,1
"208",40,5760,379.531124037195,3,64,1
"209",40,5760,382.036016953912,3,65,1
"210",40,5760,380.547455250446,3,66,1
"211",40,5760,387.616381253063,3,67,1
"212",40,5760,384.472791456378,3,68,1
"213",40,5760,383.936889037313,3,69,1
"214",40,5760,389.256299466601,3,70,1
"215",40,5760,380.153007193288,3,71,1
"216",40,5760,390.386218981338,3,72,1
"217",40,5760,779.934344187264,4,1,1
"218",40,5760,673.704362695978,4,2,1
"219",40,5760,609.979870983284,4,3,1
"220",40,5760,576.442333471967,4,4,1
"221",40,5760,548.594788312531,4,5,1
"222",40,5760,534.974925417636,4,6,1
"223",40,5760,515.705568372142,4,7,1
"224",40,5760,506.871451893607,4,8,1
"225",40,5760,508.396989638508,4,9,1
"226",40,5760,484.252202149097,4,10,1
"227",40,5760,482.562584783769,4,11,1
"228",40,5760,478.844309346652,4,12,1
"229",40,5760,462.623356102015,4,13,1
"230",40,5760,466.290911632915,4,14,1
"231",40,5760,452.903421117184,4,15,1
"232",40,5760,439.970183530556,4,16,1
"233",40,5760,451.310770574642,4,17,1
"234",40,5760,442.176302968254,4,18,1
"235",40,5760,431.780768675661,4,19,1
"236",40,5760,439.126439425596,4,20,1
"237",40,5760,428.763443816965,4,21,1
"238",40,5760,436.401430243261,4,22,1
"239",40,5760,419.819444832177,4,23,1
"240",40,5760,425.897532185354,4,24,1
"241",40,5760,419.218877346817,4,25,1
"242",40,5760,409.477229984706,4,26,1
"243",40,5760,410.496561064396,4,27,1
"244",40,5760,418.233689195877,4,28,1
"245",40,5760,406.58492037951,4,29,1
"246",40,5760,405.689934063923,4,30,1
"247",40,5760,406.089006373639,4,31,1
"248",40,5760,406.860826729126,4,32,1
"249",40,5760,398.191703995698,4,33,1
"250",40,5760,398.43294158723,4,34,1
"251",40,5760,401.267250942629,4,35,1
"252",40,5760,401.107102411797,4,36,1
"253",40,5760,389.234392607314,4,37,1
"254",40,5760,396.25378313556,4,38,1
"255",40,5760,393.144852291205,4,39,1
"256",40,5760,389.235794292578,4,40,1
"257",40,5760,391.918030744859,4,41,1
"258",40,5760,392.898946272563,4,42,1
"259",40,5760,378.635551612611,4,43,1
"260",40,5760,379.565537858628,4,44,1
"261",40,5760,378.755955149395,4,45,1
"262",40,5760,382.88852068926,4,46,1
"263",40,5760,375.226552507147,4,47,1
"264",40,5760,381.45687955344,4,48,1
"265",40,5760,370.831997738511,4,49,1
"266",40,5760,381.27190097742,4,50,1
"267",40,5760,375.971817692822,4,51,1
"268",40,5760,364.308789624449,4,52,1
"269",40,5760,374.010458668245,4,53,1
"270",40,5760,373.196478165286,4,54,1
"271",40,5760,379.694652068074,4,55,1
"272",40,5760,366.252128198342,4,56,1
"273",40,5760,366.971327555148,4,57,1
"274",40,5760,366.496832775994,4,58,1
"275",40,5760,368.255191213958,4,59,1
"276",40,5760,367.530803388061,4,60,1
"277",40,5760,362.489886986183,4,61,1
"278",40,5760,370.005253434398,4,62,1
"279",40,5760,358.984378511012,4,63,1
"280",40,5760,362.890139123723,4,64,1
"281",40,5760,361.182591608368,4,65,1
"282",40,5760,364.732941646364,4,66,1
"283",40,5760,354.510862510093,4,67,1
"284",40,5760,358.002715793171,4,68,1
"285",40,5760,356.4971208137,4,69,1
"286",40,5760,355.207276606441,4,70,1
"287",40,5760,359.668932842347,4,71,1
"288",40,5760,360.013087328547,4,72,1
"289",40,5760,781.894189281619,5,1,1
"290",40,5760,728.728788444432,5,2,1
"291",40,5760,721.737977472676,5,3,1
"292",40,5760,702.409787369843,5,4,1
"293",40,5760,684.202099105173,5,5,1
"294",40,5760,679.828075645062,5,6,1
"295",40,5760,679.556012876558,5,7,1
"296",40,5760,676.287944955834,5,8,1
"297",40,5760,669.034770445274,5,9,1
"298",40,5760,654.984632165592,5,10,1
"299",40,5760,669.289063288809,5,11,1
"300",40,5760,661.258429255019,5,12,1
"301",40,5760,657.422561983363,5,13,1
"302",40,5760,652.873980124167,5,14,1
"303",40,5760,658.113938624518,5,15,1
"304",40,5760,650.234261636888,5,16,1
"305",40,5760,651.509228397527,5,17,1
"306",40,5760,639.720461949107,5,18,1
"307",40,5760,640.607526787391,5,19,1
"308",40,5760,639.388530107837,5,20,1
"309",40,5760,641.8263710095,5,21,1
"310",40,5760,634.636876925567,5,22,1
"311",40,5760,636.303145972925,5,23,1
"312",40,5760,633.88105093676,5,24,1
"313",40,5760,638.947200678431,5,25,1
"314",40,5760,642.455895285058,5,26,1
"315",40,5760,638.58145785206,5,27,1
"316",40,5760,634.44513984894,5,28,1
"317",40,5760,631.426301897806,5,29,1
"318",40,5760,624.972134211784,5,30,1
"319",40,5760,630.712407774548,5,31,1
"320",40,5760,625.605162436548,5,32,1
"321",40,5760,628.058369718979,5,33,1
"322",40,5760,629.577645506399,5,34,1
"323",40,5760,629.46258438091,5,35,1
"324",40,5760,622.372590329453,5,36,1
"325",40,5760,630.219982840872,5,37,1
"326",40,5760,624.153798145958,5,38,1
"327",40,5760,621.929737975169,5,39,1
"328",40,5760,624.616164273235,5,40,1
"329",40,5760,618.783508682439,5,41,1
"330",40,5760,622.953271705477,5,42,1
"331",40,5760,620.669272771477,5,43,1
"332",40,5760,619.916225719659,5,44,1
"333",40,5760,622.256322466431,5,45,1
"334",40,5760,626.136971972998,5,46,1
"335",40,5760,618.141963360466,5,47,1
"336",40,5760,619.158375410301,5,48,1
"337",40,5760,623.570370818687,5,49,1
"338",40,5760,623.005708949216,5,50,1
"339",40,5760,627.21680881667,5,51,1
"340",40,5760,623.014548876588,5,52,1
"341",40,5760,616.905571174043,5,53,1
"342",40,5760,619.016813835513,5,54,1
"343",40,5760,618.159797103045,5,55,1
"344",40,5760,616.0537985267,5,56,1
"345",40,5760,609.781314793627,5,57,1
"346",40,5760,614.731595985965,5,58,1
"347",40,5760,622.145274810022,5,59,1
"348",40,5760,613.209150770654,5,60,1
"349",40,5760,619.03787472833,5,61,1
"350",40,5760,618.538933537624,5,62,1
"351",40,5760,618.076569939746,5,63,1
"352",40,5760,624.393666925308,5,64,1
"353",40,5760,616.004424633169,5,65,1
"354",40,5760,614.070934167118,5,66,1
"355",40,5760,609.297401202068,5,67,1
"356",40,5760,614.094195584552,5,68,1
"357",40,5760,617.321427839332,5,69,1
"358",40,5760,605.516678206489,5,70,1
"359",40,5760,611.813396888692,5,71,1
"360",40,5760,616.218014252249,5,72,1
"361",40,5760,923.960911647177,6,1,1
"362",40,5760,781.609690276688,6,2,1
"363",40,5760,718.083339198845,6,3,1
"364",40,5760,674.500350543472,6,4,1
"365",40,5760,654.277433018436,6,5,1
"366",40,5760,630.733204855347,6,6,1
"367",40,5760,623.918504271947,6,7,1
"368",40,5760,602.343105373251,6,8,1
"369",40,5760,590.266387727174,6,9,1
"370",40,5760,592.196635008204,6,10,1
"371",40,5760,586.842130083254,6,11,1
"372",40,5760,566.08498199791,6,12,1
"373",40,5760,566.766486290744,6,13,1
"374",40,5760,553.890234536144,6,14,1
"375",40,5760,558.129664483192,6,15,1
"376",40,5760,548.182088675865,6,16,1
"377",40,5760,548.508718331375,6,17,1
"378",40,5760,543.412978361095,6,18,1
"379",40,5760,547.182261747787,6,19,1
"380",40,5760,536.043487632143,6,20,1
"381",40,5760,535.172582646593,6,21,1
"382",40,5760,533.36350255078,6,22,1
"383",40,5760,530.362549319866,6,23,1
"384",40,5760,534.022119092297,6,24,1
"385",40,5760,515.796031271628,6,25,1
"386",40,5760,526.027872006789,6,26,1
"387",40,5760,511.353200733602,6,27,1
"388",40,5760,521.013041242564,6,28,1
"389",40,5760,512.708747849691,6,29,1
"390",40,5760,512.218604553466,6,30,1
"391",40,5760,510.292760230951,6,31,1
"392",40,5760,516.576026326285,6,32,1
"393",40,5760,514.404419637916,6,33,1
"394",40,5760,507.583318905114,6,34,1
"395",40,5760,505.347698953869,6,35,1
"396",40,5760,509.447351993728,6,36,1
"397",40,5760,500.308365061876,6,37,1
"398",40,5760,499.015893585235,6,38,1
"399",40,5760,506.185342785149,6,39,1
"400",40,5760,506.588583134046,6,40,1
"401",40,5760,508.748261691556,6,41,1
"402",40,5760,506.273464055367,6,42,1
"403",40,5760,507.324535396701,6,43,1
"404",40,5760,501.944172534751,6,44,1
"405",40,5760,495.187184886601,6,45,1
"406",40,5760,499.206077819642,6,46,1
"407",40,5760,500.491536434566,6,47,1
"408",40,5760,501.155238495206,6,48,1
"409",40,5760,503.57379145753,6,49,1
"410",40,5760,495.338646387091,6,50,1
"411",40,5760,489.522497519928,6,51,1
"412",40,5760,492.949152493235,6,52,1
"413",40,5760,493.924515826135,6,53,1
"414",40,5760,503.151576522943,6,54,1
"415",40,5760,498.025591656342,6,55,1
"416",40,5760,500.439456967818,6,56,1
"417",40,5760,495.876191479635,6,57,1
"418",40,5760,498.940386070963,6,58,1
"419",40,5760,490.357004930855,6,59,1
"420",40,5760,481.311505416476,6,60,1
"421",40,5760,485.716916788484,6,61,1
"422",40,5760,486.987649783504,6,62,1
"423",40,5760,489.022507357099,6,63,1
"424",40,5760,490.088937157421,6,64,1
"425",40,5760,488.751080457142,6,65,1
"426",40,5760,487.655378871873,6,66,1
"427",40,5760,488.895846436584,6,67,1
"428",40,5760,478.44543109014,6,68,1
"429",40,5760,486.016682740175,6,69,1
"430",40,5760,484.694321231224,6,70,1
"431",40,5760,486.483251474433,6,71,1
"432",40,5760,482.526522368139,6,72,1
"433",40,5760,816.135985808188,7,1,1
"434",40,5760,804.984659896286,7,2,1
"435",40,5760,781.761385085627,7,3,1
"436",40,5760,778.926499609309,7,4,1
"437",40,5760,779.720260049935,7,5,1
"438",40,5760,790.528087638125,7,6,1
"439",40,5760,778.688582760264,7,7,1
"440",40,5760,763.107409206714,7,8,1
"441",40,5760,764.397522419148,7,9,1
"442",40,5760,775.28653362618,7,10,1
"443",40,5760,767.134491038921,7,11,1
"444",40,5760,758.234491562943,7,12,1
"445",40,5760,773.772876687991,7,13,1
"446",40,5760,755.116306959178,7,14,1
"447",40,5760,757.241176217125,7,15,1
"448",40,5760,756.982470194671,7,16,1
"449",40,5760,754.127702078329,7,17,1
"450",40,5760,755.962654874979,7,18,1
"451",40,5760,747.728271383981,7,19,1
"452",40,5760,753.367900733388,7,20,1
"453",40,5760,759.905884658525,7,21,1
"454",40,5760,744.400591052412,7,22,1
"455",40,5760,757.867841273665,7,23,1
"456",40,5760,756.379719001503,7,24,1
"457",40,5760,754.03660990127,7,25,1
"458",40,5760,753.914320815244,7,26,1
"459",40,5760,753.913363424406,7,27,1
"460",40,5760,745.616969716816,7,28,1
"461",40,5760,757.17178905775,7,29,1
"462",40,5760,754.097459389551,7,30,1
"463",40,5760,749.321605485931,7,31,1
"464",40,5760,743.795924426088,7,32,1
"465",40,5760,752.840179307959,7,33,1
"466",40,5760,744.06326801831,7,34,1
"467",40,5760,755.192549019205,7,35,1
"468",40,5760,752.268228249194,7,36,1
"469",40,5760,747.864103233277,7,37,1
"470",40,5760,747.028307621273,7,38,1
"471",40,5760,749.05235947226,7,39,1
"472",40,5760,748.654572672335,7,40,1
"473",40,5760,762.294822730099,7,41,1
"474",40,5760,763.583656142325,7,42,1
"475",40,5760,746.182699282151,7,43,1
"476",40,5760,746.051325361862,7,44,1
"477",40,5760,736.429178850577,7,45,1
"478",40,5760,752.988085743008,7,46,1
"479",40,5760,739.47187495503,7,47,1
"480",40,5760,744.373957284039,7,48,1
"481",40,5760,745.004580851293,7,49,1
"482",40,5760,746.29397323776,7,50,1
"483",40,5760,740.652438403189,7,51,1
"484",40,5760,740.188461617309,7,52,1
"485",40,5760,738.312777044171,7,53,1
"486",40,5760,746.199339462727,7,54,1
"487",40,5760,750.014834571336,7,55,1
"488",40,5760,750.047567678791,7,56,1
"489",40,5760,740.352740890515,7,57,1
"490",40,5760,744.513914133764,7,58,1
"491",40,5760,752.990490238171,7,59,1
"492",40,5760,743.62972662252,7,60,1
"493",40,5760,749.99001344398,7,61,1
"494",40,5760,744.810481222609,7,62,1
"495",40,5760,749.943543144882,7,63,1
"496",40,5760,744.566758585874,7,64,1
"497",40,5760,750.971319699287,7,65,1
"498",40,5760,745.021025478893,7,66,1
"499",40,5760,743.400369928341,7,67,1
"500",40,5760,743.662564328331,7,68,1
"501",40,5760,746.42792914549,7,69,1
"502",40,5760,750.124100011456,7,70,1
"503",40,5760,743.915244045974,7,71,1
"504",40,5760,738.719206724375,7,72,1
"505",40,5760,599.157536304169,8,1,1
"506",40,5760,497.277812349188,8,2,1
"507",40,5760,456.021015570139,8,3,1
"508",40,5760,419.857911153667,8,4,1
"509",40,5760,394.468094304168,8,5,1
"510",40,5760,377.821053203587,8,6,1
"511",40,5760,365.490373512124,8,7,1
"512",40,5760,356.105837534062,8,8,1
"513",40,5760,344.401306607357,8,9,1
"514",40,5760,343.913047797495,8,10,1
"515",40,5760,335.90842292984,8,11,1
"516",40,5760,325.542024176941,8,12,1
"517",40,5760,334.999165081603,8,13,1
"518",40,5760,311.977660911852,8,14,1
"519",40,5760,311.301802781157,8,15,1
"520",40,5760,305.348743604735,8,16,1
"521",40,5760,309.981423644346,8,17,1
"522",40,5760,303.710150644424,8,18,1
"523",40,5760,300.114294998852,8,19,1
"524",40,5760,289.477453573077,8,20,1
"525",40,5760,300.261683460091,8,21,1
"526",40,5760,297.704665953161,8,22,1
"527",40,5760,283.256567883163,8,23,1
"528",40,5760,291.565774571688,8,24,1
"529",40,5760,287.179993780783,8,25,1
"530",40,5760,281.927907717082,8,26,1
"531",40,5760,291.524800439266,8,27,1
"532",40,5760,276.43410388062,8,28,1
"533",40,5760,270.144059923376,8,29,1
"534",40,5760,272.271799615055,8,30,1
"535",40,5760,286.456055881811,8,31,1
"536",40,5760,275.875069792233,8,32,1
"537",40,5760,277.070867750264,8,33,1
"538",40,5760,273.148665370348,8,34,1
"539",40,5760,267.515890143247,8,35,1
"540",40,5760,273.421426832327,8,36,1
"541",40,5760,275.338957244297,8,37,1
"542",40,5760,258.204501807072,8,38,1
"543",40,5760,262.579358942408,8,39,1
"544",40,5760,270.853648185156,8,40,1
"545",40,5760,256.30657602373,8,41,1
"546",40,5760,265.177202809033,8,42,1
"547",40,5760,267.992127203113,8,43,1
"548",40,5760,265.32505850087,8,44,1
"549",40,5760,257.089342647697,8,45,1
"550",40,5760,257.825109749148,8,46,1
"551",40,5760,255.3175180558,8,47,1
"552",40,5760,254.442921020846,8,48,1
"553",40,5760,268.285091098438,8,49,1
"554",40,5760,261.475048443396,8,50,1
"555",40,5760,259.18187230568,8,51,1
"556",40,5760,258.98653159849,8,52,1
"557",40,5760,254.993756954021,8,53,1
"558",40,5760,253.323497618204,8,54,1
"559",40,5760,253.869050718925,8,55,1
"560",40,5760,252.8801744258,8,56,1
"561",40,5760,253.173103933135,8,57,1
"562",40,5760,244.880878515263,8,58,1
"563",40,5760,241.523889798127,8,59,1
"564",40,5760,253.990484904361,8,60,1
"565",40,5760,255.931749300188,8,61,1
"566",40,5760,239.116173612791,8,62,1
"567",40,5760,248.743353192009,8,63,1
"568",40,5760,237.452676674378,8,64,1
"569",40,5760,237.721296579724,8,65,1
"570",40,5760,241.933161742163,8,66,1
"571",40,5760,242.50738080458,8,67,1
"572",40,5760,247.522906375583,8,68,1
"573",40,5760,244.449105915476,8,69,1
"574",40,5760,243.19069629451,8,70,1
"575",40,5760,245.27120014627,8,71,1
"576",40,5760,243.417237201609,8,72,1
"577",40,5760,1008.79768520368,9,1,1
"578",40,5760,954.190536762493,9,2,1
"579",40,5760,930.799307495135,9,3,1
"580",40,5760,905.071244182087,9,4,1
"581",40,5760,895.840661727204,9,5,1
"582",40,5760,886.986005802626,9,6,1
"583",40,5760,870.971271740533,9,7,1
"584",40,5760,861.115486049241,9,8,1
"585",40,5760,863.503416908667,9,9,1
"586",40,5760,854.553233247515,9,10,1
"587",40,5760,854.360943991764,9,11,1
"588",40,5760,844.868817492521,9,12,1
"589",40,5760,835.779982813028,9,13,1
"590",40,5760,823.475555993589,9,14,1
"591",40,5760,832.124242818922,9,15,1
"592",40,5760,827.550133102487,9,16,1
"593",40,5760,827.778798598787,9,17,1
"594",40,5760,817.749412508025,9,18,1
"595",40,5760,813.030167491396,9,19,1
"596",40,5760,811.694905461782,9,20,1
"597",40,5760,807.660283597651,9,21,1
"598",40,5760,814.390532110053,9,22,1
"599",40,5760,810.202102925861,9,23,1
"600",40,5760,802.280152521548,9,24,1
"601",40,5760,803.629600990815,9,25,1
"602",40,5760,802.62981590065,9,26,1
"603",40,5760,801.389222638964,9,27,1
"604",40,5760,800.192830773591,9,28,1
"605",40,5760,796.001492278859,9,29,1
"606",40,5760,789.752227867274,9,30,1
"607",40,5760,792.752931380164,9,31,1
"608",40,5760,786.359040766244,9,32,1
"609",40,5760,786.121491713534,9,33,1
"610",40,5760,787.516141822387,9,34,1
"611",40,5760,788.680977491597,9,35,1
"612",40,5760,782.937105945958,9,36,1
"613",40,5760,774.301315621476,9,37,1
"614",40,5760,782.132346346155,9,38,1
"615",40,5760,787.56353009219,9,39,1
"616",40,5760,773.541522319733,9,40,1
"617",40,5760,775.351695931958,9,41,1
"618",40,5760,780.615945462451,9,42,1
"619",40,5760,781.2358489089,9,43,1
"620",40,5760,780.494164884148,9,44,1
"621",40,5760,761.065556233865,9,45,1
"622",40,5760,773.581331088208,9,46,1
"623",40,5760,768.884303913103,9,47,1
"624",40,5760,765.863328079467,9,48,1
"625",40,5760,767.548920067232,9,49,1
"626",40,5760,775.572170526772,9,50,1
"627",40,5760,766.248040882542,9,51,1
"628",40,5760,758.711065930763,9,52,1
"629",40,5760,764.801960700247,9,53,1
"630",40,5760,762.726736631912,9,54,1
"631",40,5760,766.882776125911,9,55,1
"632",40,5760,755.686386652087,9,56,1
"633",40,5760,769.003847882932,9,57,1
"634",40,5760,762.450835882453,9,58,1
"635",40,5760,770.994039021784,9,59,1
"636",40,5760,757.308587155639,9,60,1
"637",40,5760,755.060535921351,9,61,1
"638",40,5760,754.290106849434,9,62,1
"639",40,5760,758.942493948393,9,63,1
"640",40,5760,758.137193980154,9,64,1
"641",40,5760,757.283175738339,9,65,1
"642",40,5760,755.585943509166,9,66,1
"643",40,5760,750.91941752344,9,67,1
"644",40,5760,758.298569691544,9,68,1
"645",40,5760,753.14662241071,9,69,1
"646",40,5760,755.157910635254,9,70,1
"647",40,5760,751.750580635313,9,71,1
"648",40,5760,749.118128328219,9,72,1
"649",40,5760,779.440249931625,10,1,1
"650",40,5760,714.762066454646,10,2,1
"651",40,5760,694.497719068697,10,3,1
"652",40,5760,677.503553656026,10,4,1
"653",40,5760,659.044003931578,10,5,1
"654",40,5760,651.189187905972,10,6,1
"655",40,5760,649.78102143712,10,7,1
"656",40,5760,631.00126362692,10,8,1
"657",40,5760,626.271436571647,10,9,1
"658",40,5760,633.185454793336,10,10,1
"659",40,5760,621.848332971065,10,11,1
"660",40,5760,606.975957392458,10,12,1
"661",40,5760,607.68653226673,10,13,1
"662",40,5760,612.037287098843,10,14,1
"663",40,5760,616.13906381503,10,15,1
"664",40,5760,601.035824346477,10,16,1
